symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
HTR3E	0.5912831584217951	No data	No data	0.9692469478028526	No data	0.06737899673528801	No data	No data	5-hydroxytryptamine receptor 3E
HTR3D	0.5912215617793477	No data	No data	0.9692469478028526	No data	0.06535256074324927	No data	No data	5-hydroxytryptamine receptor 3D
HTR3C	0.5912215617793477	No data	No data	0.9692469478028526	No data	0.06535256074324927	No data	No data	5-hydroxytryptamine receptor 3C
HTR1F	0.5909344311391685	No data	No data	0.9690026137515824	No data	0.06079307976116211	No data	No data	5-hydroxytryptamine receptor 1F
HTR2B	0.5896802544550509	No data	No data	0.9699792423277926	No data	No data	No data	No data	5-hydroxytryptamine receptor 2B
HTR1E	0.589640901647772	No data	No data	0.9690026137515824	No data	0.01823792392834863	No data	No data	5-hydroxytryptamine receptor 1E
HTR1D	0.5894561117204297	No data	No data	0.9690026137515824	No data	0.012158615952232422	No data	No data	5-hydroxytryptamine receptor 1D
GRM3	0.5870364689832955	0.8091340421539457	No data	0.531701029367848	No data	0.9095876432267128	No data	0.26864461946457535	glutamate metabotropic receptor 3
GPD2	0.5817269678473145	0.21624347154954549	No data	0.9028358218884013	No data	No data	No data	No data	glycerol-3-phosphate dehydrogenase 2
GRIN3B	0.5789134729545886	No data	No data	0.9264486878979311	No data	0.3780082596513638	No data	0.3113821545366723	glutamate ionotropic receptor NMDA type subunit 3B
GABRA1	0.5786346556316576	No data	No data	0.9239320420056576	No data	0.154217353693194	No data	0.48901953359878797	gamma-aminobutyric acid type A receptor subunit alpha1
GABRA3	0.5758267213660823	No data	No data	0.9239320420056576	No data	No data	0.017554511198941292	0.45738180167308323	gamma-aminobutyric acid type A receptor subunit alpha3
GRIN2C	0.5744291581740777	No data	No data	0.9264486878979311	No data	0.3628482140232091	0.013556178429573658	No data	glutamate ionotropic receptor NMDA type subunit 2C
CHRNA4	0.5737202883490555	No data	No data	0.9217134400745502	No data	0.17842159550319353	No data	0.36095891108190004	cholinergic receptor nicotinic alpha 4 subunit
GABRG2	0.5723642028871284	No data	No data	0.9252454727412381	No data	0.14746213790081447	No data	0.2594648644206399	gamma-aminobutyric acid type A receptor subunit gamma2
CHRNB2	0.5722577241756631	No data	No data	0.9217134400745502	No data	0.11297380655615959	No data	0.3419306771166562	cholinergic receptor nicotinic beta 2 subunit
GRIN3A	0.5722413228620531	No data	No data	0.9264486878979311	No data	0.29689672303094927	No data	No data	glutamate ionotropic receptor NMDA type subunit 3A
NDUFA6	0.5691270101373944	0.13333957683375483	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A6
GRIN2D	0.5681262860598915	No data	No data	0.9264486878979311	No data	0.16151826158999377	No data	No data	glutamate ionotropic receptor NMDA type subunit 2D
NDUFA13	0.5671348264300254	0.11861046433638914	No data	0.9028358218884013	No data	0.01823792392834863	No data	No data	NADH:ubiquinone oxidoreductase subunit A13
GABRA2	0.5667914363609377	No data	No data	0.9252454727412381	No data	0.14166803681383666	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha2
ADRA1A	0.5657796493156745	No data	No data	0.9226601395520476	No data	0.16008844337106024	No data	No data	adrenoceptor alpha 1A
ALDH5A1	0.5655285551667347	No data	No data	0.9302515309119522	No data	No data	No data	No data	aldehyde dehydrogenase 5 family member A1
NDUFS5	0.5653893124144591	No data	No data	0.9028358218884013	No data	No data	No data	0.5437333053838339	NADH:ubiquinone oxidoreductase subunit S5
SETD1A	0.5649093885910191	0.7402787474190121	No data	No data	No data	0.17480765863681316	No data	No data	SET domain containing 1A, histone lysine methyltransferase
GABRG1	0.5639329958816397	No data	No data	0.9224595452640377	No data	0.10334823559397559	No data	No data	gamma-aminobutyric acid type A receptor subunit gamma1
NDUFA2	0.5634953144671616	0.09520396398968407	No data	0.9028358218884013	No data	0.012158615952232422	No data	No data	NADH:ubiquinone oxidoreductase subunit A2
GABRA5	0.5627672510050322	No data	No data	0.9239320420056576	No data	0.03554706469367951	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha5
NDUFA4L2	0.5624147031420366	0.08917463554946051	No data	0.9028358218884013	No data	No data	No data	No data	NDUFA4 mitochondrial complex associated like 2
GABRG3	0.5618079117172027	No data	No data	0.9224595452640377	No data	0.03343619386863916	No data	No data	gamma-aminobutyric acid type A receptor subunit gamma3
ADRA1D	0.5614566471513381	No data	No data	0.9226601395520476	No data	0.012158615952232422	0.012464408031556774	No data	adrenoceptor alpha 1D
ADRA1B	0.560913514562326	No data	No data	0.9226601395520476	No data	No data	No data	No data	adrenoceptor alpha 1B
NDUFV2	0.5579247453089348	No data	No data	0.9028358218884013	No data	0.29816038376675463	No data	No data	NADH:ubiquinone oxidoreductase core subunit V2
NDUFS1	0.5570756730324672	No data	No data	0.9028358218884013	No data	0.2702271953248035	No data	No data	NADH:ubiquinone oxidoreductase core subunit S1
ACHE	0.5558880704803408	No data	No data	0.9069331222177438	No data	0.1492108683399045	No data	No data	acetylcholinesterase (Cartwright blood group)
NDUFV1	0.5544644292489086	No data	No data	0.9028358218884013	No data	0.18432124044252343	No data	No data	NADH:ubiquinone oxidoreductase core subunit V1
MTNR1B	0.5543128919083009	0.05263882962508998	No data	0.8967813274142284	No data	0.08377117521422134	No data	No data	melatonin receptor 1B
MTNR1A	0.5540053522952465	No data	No data	0.8967813274142284	No data	0.2903081953332375	No data	No data	melatonin receptor 1A
NDUFS7	0.5518144903602838	No data	No data	0.9028358218884013	No data	0.09714227536835693	No data	No data	NADH:ubiquinone oxidoreductase core subunit S7
NDUFS2	0.5507096005863827	No data	No data	0.9028358218884013	No data	0.06079307976116211	No data	No data	NADH:ubiquinone oxidoreductase core subunit S2
NDUFB2	0.5507096005863827	No data	No data	0.9028358218884013	No data	0.06079307976116211	No data	No data	NADH:ubiquinone oxidoreductase subunit B2
NDUFA10	0.5501552308043557	No data	No data	0.9028358218884013	No data	0.04255515583281348	No data	No data	NADH:ubiquinone oxidoreductase subunit A10
MT-ND5	0.5499792228603307	No data	No data	0.9028358218884013	No data	0.02870784322054877	0.01812806673846157	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5
NDUFS3	0.549785650949671	No data	No data	0.9028358218884013	No data	0.030396539880581056	No data	No data	NADH:ubiquinone oxidoreductase core subunit S3
MT-ND4L	0.5495288661125949	No data	No data	0.9028358218884013	No data	No data	0.021948708710160497	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L
MT-ND4	0.5495084660586576	No data	No data	0.9028358218884013	No data	0.021277577916406734	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4
MT-ND6	0.5493301161787644	No data	No data	0.9028358218884013	No data	No data	0.01541013772111577	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6
NDUFA3	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A3
NDUFA12	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A12
NDUFA1	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A1
NDUFB10	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B10
NDUFA8	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A8
NDUFV3	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit V3
NDUFB5	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B5
MT-ND2	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2
NDUFAF3	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase complex assembly factor 3
NDUFC1	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit C1
NDUFS6	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit S6
NDUFA7	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A7
NDUFB9	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B9
NDUFB6	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B6
NDUFB8	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B8
NDUFB11	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B11
NDUFAF1	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase complex assembly factor 1
NDUFAB1	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit AB1
NDUFB1	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B1
NDUFS4	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit S4
NDUFA9	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A9
NDUFAF4	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase complex assembly factor 4
MT-ND3	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3
NDUFB7	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B7
NDUFA4	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NDUFA4 mitochondrial complex associated
NDUFA11	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A11
NDUFA5	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A5
MT-ND1	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1
NDUFB4	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B4
NDUFB3	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B3
NDUFC2	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit C2
NDUFS8	0.5488617013129592	No data	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase core subunit S8
GRIA1	0.5464802148456858	0.7580891715644044	No data	0.47861833392169206	No data	0.3254807151323274	No data	0.7697787074734159	glutamate ionotropic receptor AMPA type subunit 1
GABRB2	0.5459955354815278	No data	No data	0.8626369148442898	No data	0.7096856377653679	No data	No data	gamma-aminobutyric acid type A receptor subunit beta2
SLC39A8	0.5451868958403958	0.8767025036539059	No data	No data	No data	0.4017708454301261	No data	No data	solute carrier family 39 member 8
TCF4	0.537580504721698	0.8430620366584374	No data	No data	No data	0.8243414690717576	No data	No data	transcription factor 4
OPRD1	0.5365610314273095	0.38616080950958165	No data	0.7772226377798572	No data	No data	No data	0.39776912087728367	opioid receptor delta 1
GABRB1	0.5356364538229785	No data	No data	0.877970883623333	No data	0.06220820756226916	No data	No data	gamma-aminobutyric acid type A receptor subunit beta1
RGS6	0.5327453759405346	0.8757177596157256	No data	No data	No data	0.012158615952232422	No data	No data	regulator of G protein signaling 6
ZNF804A	0.5314369503218097	0.8342291344194102	No data	No data	No data	0.6412562030447515	No data	0.35466682732661975	zinc finger protein 804A
CHRM1	0.5304355413323011	No data	No data	0.8331266056513648	No data	0.2955725774693635	No data	0.6566260545003119	cholinergic receptor muscarinic 1
GABRB3	0.5302087297117216	No data	No data	0.8626369148442898	No data	0.1903237027613246	No data	No data	gamma-aminobutyric acid type A receptor subunit beta3
ADRA2A	0.5290721636792622	No data	No data	0.8622991755122835	No data	0.15968719299322195	No data	No data	adrenoceptor alpha 2A
OXTR	0.5271940370586004	No data	No data	0.831511502926463	No data	0.5742245969056232	0.020897733030977066	0.3019592271736922	oxytocin receptor
HMGCR	0.5267847523176696	No data	No data	0.865457038266544	No data	0.021277577916406734	No data	No data	3-hydroxy-3-methylglutaryl-CoA reductase
ADRA2B	0.5256965449677645	No data	No data	0.8622991755122835	No data	0.04863446380892969	No data	No data	adrenoceptor alpha 2B
ADRA2C	0.525391128282296	No data	No data	0.8622991755122835	No data	0.03858671868173762	No data	No data	adrenoceptor alpha 2C
CACNA1I	0.5250226121465024	0.8121358193731716	No data	0.12158615952232422	No data	0.36190179696486435	No data	0.6690633054014496	calcium voltage-gated channel subunit alpha1 I
DRD1	0.5219233112161045	No data	No data	0.8147961384655754	No data	0.6118273634258611	No data	0.5911519075975403	dopamine receptor D1
GABRD	0.5216248015798466	No data	No data	0.8337939758909385	No data	0.045594809820871586	No data	0.46451992245503965	gamma-aminobutyric acid type A receptor subunit delta
GABRA6	0.5212699535888139	No data	No data	0.8508160382240639	No data	0.13266907570211606	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha6
NRXN1	0.5208345930520919	0.6705751303165084	No data	No data	No data	0.8331499840006191	No data	No data	neurexin 1
GABRA4	0.5176068525929993	No data	No data	0.8508160382240639	No data	0.012158615952232422	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha4
GPM6A	0.517481346893568	0.8481155547813345	No data	No data	No data	0.06203933789626593	No data	No data	glycoprotein M6A
BCL11B	0.5170349418767429	0.8484398963617493	No data	No data	No data	0.04086645917278119	No data	No data	BCL11 transcription factor B
DRD5	0.5111762079467764	No data	No data	0.8147961384655754	No data	0.29614160782555127	No data	0.38937967587024325	dopamine receptor D5
GABRQ	0.5089217260079089	No data	No data	0.8337939758909385	No data	0.06687238773727831	No data	No data	gamma-aminobutyric acid type A receptor subunit theta
GABRE	0.5088293310442377	No data	No data	0.8337939758909385	No data	0.06383273374922022	No data	No data	gamma-aminobutyric acid type A receptor subunit epsilon
GABRP	0.506889036807143	No data	No data	0.8337939758909385	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit pi
SORCS3	0.5053626455881832	0.8098536176235599	No data	No data	No data	No data	No data	0.42859121231619285	sortilin related VPS10 domain containing receptor 3
GALNT10	0.4971864463800961	0.8178339513862326	No data	No data	No data	No data	No data	No data	polypeptide N-acetylgalactosaminyltransferase 10
SNAP91	0.4947526311439122	0.8115592131221067	No data	No data	No data	0.04542594015486835	No data	No data	synaptosome associated protein 91
MMP16	0.49218285587001587	0.79523993404395	No data	No data	No data	0.05066089980096842	No data	0.264753862359861	matrix metallopeptidase 16
ZSWIM6	0.491107854034084	0.8072271977458023	No data	No data	No data	0.012158615952232422	No data	No data	zinc finger SWIM-type containing 6
OPRK1	0.4903106097378277	No data	No data	0.7772226377798572	No data	0.10609161674850578	No data	0.5388698590029409	opioid receptor kappa 1
SNX19	0.4877864976591202	0.7967140246525507	No data	No data	No data	0.11315449709878303	No data	No data	sorting nexin 19
IGSF9B	0.4872730775781995	0.7865937301559571	No data	No data	No data	0.012158615952232422	No data	0.293265816767846	immunoglobulin superfamily member 9B
MRTFA	0.48684593596713605	0.7929468270248922	No data	No data	No data	0.1575553983810118	No data	No data	myocardin related transcription factor A
OPRM1	0.4853850853248934	No data	No data	0.7772226377798572	No data	0.29417943561361337	No data	0.2920499551726228	opioid receptor mu 1
VRK2	0.48515936093784073	0.7766840528001663	No data	No data	No data	0.4273251257491792	No data	No data	VRK serine/threonine kinase 2
TSNARE1	0.4813678192665679	0.7794239758484213	No data	No data	No data	0.24779070186959562	No data	No data	t-SNARE domain containing 1
CHRM3	0.4805360443275108	0.44065589266870053	No data	0.6666481383668832	No data	0.20345472692646555	No data	0.49905039175937976	cholinergic receptor muscarinic 3
SPATS2L	0.4793376514604658	0.7872581774625784	No data	No data	No data	0.024317231904464845	No data	No data	spermatogenesis associated serine rich 2 like
PRODH	0.47728004183794914	0.7611184165446566	No data	No data	No data	0.4794202184957191	No data	No data	proline dehydrogenase 1
IMMP2L	0.4765989777577253	0.7824493017787534	No data	No data	No data	0.030396539880581056	No data	No data	inner mitochondrial membrane peptidase subunit 2
CACNA2D1	0.4758561735762613	0.08214859130211807	No data	0.7616021936745586	No data	0.02735688589252295	No data	No data	calcium voltage-gated channel auxiliary subunit alpha2delta 1
HRH2	0.4739662987159407	No data	No data	0.7734230702947845	No data	0.12431002723495628	No data	No data	histamine receptor H2
GSK3B	0.4735296399175098	No data	No data	0.7616021936745586	No data	0.34636214830823675	No data	No data	glycogen synthase kinase 3 beta
IMPA1	0.47191569515832976	No data	No data	0.7616021936745586	No data	No data	No data	0.293265816767846	inositol monophosphatase 1
CACNB2	0.47184969782288333	0.7701638799584145	No data	No data	No data	0.11986087898218939	No data	No data	calcium voltage-gated channel auxiliary subunit beta 2
INSR	0.47134077618341164	No data	No data	0.7666682836546554	No data	0.17303005599872487	No data	No data	insulin receptor
KCNG2	0.469757418540609	0.7727152833614384	No data	No data	No data	No data	No data	No data	potassium voltage-gated channel modifier subfamily G member 2
ZNF536	0.4660448772409109	0.7644806770365706	No data	No data	No data	0.04255515583281348	No data	No data	zinc finger protein 536
TRANK1	0.4646530804005596	0.7571167434542467	No data	No data	No data	0.14404582510075356	No data	No data	tetratricopeptide repeat and ankyrin repeat containing 1
GSK3A	0.4641602158993774	No data	No data	0.7616021936745586	No data	0.03812232710022874	No data	No data	glycogen synthase kinase 3 alpha
BCL11A	0.46338041225765714	0.7584507641728463	No data	No data	No data	0.07549656158006318	No data	No data	BCL11 transcription factor A
NKAIN2	0.4627925662686666	0.7606506994393178	No data	No data	No data	0.012158615952232422	No data	No data	sodium/potassium transporting ATPase interacting 2
CACNA1C	0.4612050761064532	0.711320168161662	No data	0.0547137717850459	No data	0.759954065972622	No data	0.26001200213849035	calcium voltage-gated channel subunit alpha1 C
WSCD2	0.46046396587241806	0.7387617442622865	No data	No data	No data	No data	No data	0.3733303028132965	WSC domain containing 2
SLC1A1	0.45924077635927885	0.5501773718385171	No data	No data	0.607930797611621	0.44734792334223683	No data	No data	solute carrier family 1 member 1
CNTN4	0.4592148980181162	0.7487940729871778	No data	No data	No data	0.1315912928208704	No data	No data	contactin 4
PTGS2	0.45426791650537435	No data	No data	0.7354273954440582	No data	0.23617666470706686	No data	No data	prostaglandin-endoperoxide synthase 2
MAOB	0.45012811057409474	No data	No data	0.720397995169771	No data	0.2681103955621347	No data	0.28141116621441936	monoamine oxidase B
BRINP2	0.4487780978715596	0.7382058938857432	No data	No data	No data	No data	No data	No data	BMP/retinoic acid inducible neural specific 2
POM121L2	0.4486812555703516	0.7380465956537924	No data	No data	No data	No data	No data	No data	POM121 transmembrane nucleoporin like 2
VDR	0.44850853160681103	No data	No data	0.727828260473913	No data	0.19868434750642877	No data	No data	vitamin D receptor
NAA11	0.44548147566402624	0.7327832006771005	No data	No data	No data	No data	No data	No data	N-alpha-acetyltransferase 11, NatA catalytic subunit
PRKD1	0.4452549845470521	0.7293709859997929	No data	No data	No data	0.06079307976116211	No data	No data	protein kinase D1
HCN1	0.4417609885630321	0.6953267665542952	No data	No data	No data	0.13330233694962818	No data	0.5674848239071879	hyperpolarization activated cyclic nucleotide gated potassium channel 1
DPYD	0.4407118272641574	0.705624092692279	No data	No data	No data	0.07725787219647684	No data	0.3519311387373674	dihydropyrimidine dehydrogenase
SHISA9	0.4393041304882967	0.692225397047424	No data	No data	No data	No data	No data	0.607930797611621	shisa family member 9
ATP2A2	0.43775184449679544	0.7178867560113333	No data	No data	No data	0.04363576661084699	No data	No data	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
ZDHHC2	0.43722560293648316	0.7152513667498404	No data	No data	No data	0.07903100368951074	No data	No data	zinc finger DHHC-type palmitoyltransferase 2
MTHFR	0.4369572026659068	0.5193409863594853	No data	No data	No data	0.9504505504306668	No data	No data	methylenetetrahydrofolate reductase
GSDME	0.43605951103056834	0.7172847842940614	No data	No data	No data	No data	No data	No data	gasdermin E
PCNX1	0.4360497627585851	0.7172687491268656	No data	No data	No data	No data	No data	No data	pecanex 1
LIN28B	0.43461083905623293	0.6904508522184967	No data	No data	No data	No data	No data	0.48901953359878797	lin-28 homolog B
PPP1R16B	0.43426010153182165	0.7137169615057561	No data	No data	No data	0.012158615952232422	No data	No data	protein phosphatase 1 regulatory subunit 16B
LUZP2	0.43323585406182763	0.7111202559954858	No data	No data	No data	0.030396539880581056	No data	No data	leucine zipper protein 2
FOXP1	0.4324741643350668	0.6904500620833051	No data	No data	No data	0.030227670214577826	No data	0.4053074627676678	forkhead box P1
DPP4	0.4323207396877876	0.34702938275899964	No data	0.6231290675519116	No data	0.056176924051372444	No data	No data	dipeptidyl peptidase 4
SEMA6D	0.43194360661018116	0.7105144340559137	No data	No data	No data	No data	No data	No data	semaphorin 6D
CREB5	0.43190294901726095	0.7104475554028171	No data	No data	No data	No data	No data	No data	cAMP responsive element binding protein 5
GALNTL6	0.43083650948462526	0.6782968034691118	No data	No data	No data	No data	No data	0.607930797611621	polypeptide N-acetylgalactosaminyltransferase like 6
CALN1	0.43029911424639256	0.7038389950061321	No data	No data	No data	0.07940747965510651	No data	No data	calneuron 1
SP4	0.43019771560166786	0.5584937928643713	No data	No data	No data	0.428640067681416	No data	No data	Sp4 transcription factor
NGEF	0.4293460795077463	0.7062416992106981	No data	No data	No data	No data	No data	No data	neuronal guanine nucleotide exchange factor
TMTC1	0.4292092256467	0.7060165850010152	No data	No data	No data	No data	No data	No data	transmembrane O-mannosyltransferase targeting cadherins 1
AKT3	0.42735073525708434	0.6947691624983727	No data	No data	No data	0.16380693865329113	No data	No data	AKT serine/threonine kinase 3
SRPK2	0.42639579090783514	0.7013886984884088	No data	No data	No data	No data	No data	No data	SRSF protein kinase 2
EMX1	0.42412686237076425	0.697048552534097	No data	No data	No data	0.012158615952232422	No data	No data	empty spiracles homeobox 1
DCC	0.4231510432746208	0.6909387122545553	No data	No data	No data	0.10225245521936083	No data	No data	DCC netrin 1 receptor
CARMIL1	0.4217425787909296	0.6937345178889283	No data	No data	No data	No data	No data	No data	capping protein regulator and myosin 1 linker 1
TENM4	0.421347856813169	0.6616807072910219	No data	No data	No data	0.6280904583390864	No data	No data	teneurin transmembrane protein 4
PDE4B	0.4213012982853366	0.6444411793485137	No data	0.07599134970145263	No data	0.7257131848585953	No data	0.3070658458736298	phosphodiesterase 4B
NEGR1	0.42121076429890925	0.6841040475061735	No data	No data	No data	0.175113518514106	No data	No data	neuronal growth regulator 1
PTGIS	0.42098140274124074	0.691966669585323	No data	No data	No data	No data	0.010315430006510121	No data	prostaglandin I2 synthase
SPATA31D1	0.4201750128262627	0.6902440947107797	No data	No data	No data	0.01823792392834863	No data	No data	SPATA31 subfamily D member 1
NFIB	0.41997785011839	0.6908316732239226	No data	No data	No data	No data	No data	No data	nuclear factor I B
SCN11A	0.41965593832593806	No data	No data	0.6586753340455607	No data	No data	No data	0.6325363744707865	sodium voltage-gated channel alpha subunit 11
MSRA	0.4193417965001429	0.6879077515031403	No data	No data	No data	0.037553236325797865	No data	No data	methionine sulfoxide reductase A
RBM12	0.4157773365202895	0.6839221473130737	No data	No data	No data	No data	No data	No data	RNA binding motif protein 12
CPNE1	0.4157773365202895	0.6839221473130737	No data	No data	No data	No data	No data	No data	copine 1
SMARCA2	0.41499402678896063	0.5421391756723447	No data	No data	No data	0.2231861712184916	No data	No data	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
DAOA	0.41417284721331926	0.5339472098168889	No data	No data	No data	0.6231992384630834	No data	No data	D-amino acid oxidase activator
SCN2A	0.41213247708709244	No data	No data	0.6586753340455607	No data	0.1197389159354254	No data	0.33180862933642274	sodium voltage-gated channel alpha subunit 2
